id,user,name,text,favourite_count,retweet,retweet_count,user_mentions,hashtags,created_at,location
1431003692258430978,EthereumGwei,Ethereum,"Analysts anticipate Ethereum supply shock after 100K ETH burned

https://t.co/vQyUNkZ2Gu",0,False,0,[],[],2021-08-26 21:20:41,Ethereum
1431003463157223425,YuryIvanov8,Yury RODIONOV,"RT @ExchangeTimeX: What to research before investing? 🤓
Evaluating new projects and identifying good potential is crucial for trading succe…",0,True,2,"[{'screen_name': 'ExchangeTimeX', 'name': 'TimeX.io', 'id': 1177494517869506560, 'id_str': '1177494517869506560', 'indices': [3, 17]}]",[],2021-08-26 21:19:47,Беларусь
1431003188363206663,FpsMercs,🔴Live ttv/FpsMercs |,"RT @binance_BNB_BSC: Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum  #Binanc…",0,True,5,"[{'screen_name': 'binance_BNB_BSC', 'name': 'binance_BNB_BSC', 'id': 1202835551751036928, 'id_str': '1202835551751036928', 'indices': [3, 19]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'Crypto', 'indices': [112, 119]}, {'text': 'Ethereum', 'indices': [121, 130]}]",2021-08-26 21:18:41,"Manchester, NH"
1431003142867488768,Rajabkhn1,Rajabkhn,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:18:30,
1431003002991693832,wwwanpaus,ANPAUS | The Dinosaur Hunter | Streamer | YouTuber,"RT @binance_BNB_BSC: Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum  #Binanc…",0,True,5,"[{'screen_name': 'binance_BNB_BSC', 'name': 'binance_BNB_BSC', 'id': 1202835551751036928, 'id_str': '1202835551751036928', 'indices': [3, 19]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'Crypto', 'indices': [112, 119]}, {'text': 'Ethereum', 'indices': [121, 130]}]",2021-08-26 21:17:57,"Los Angeles, CA"
1431002996083724288,dave21045622,dave,"RT @cryptonerd85: $QNT
when in doubt, zoom out..
Look at the bigger picture.

#QNT didn't come this far to be a mediocre..
Its here to be t…",0,True,13,"[{'screen_name': 'cryptonerd85', 'name': 'Crypto nerd ⭐', 'id': 933762169526734848, 'id_str': '933762169526734848', 'indices': [3, 16]}]","[{'text': 'QNT', 'indices': [78, 82]}]",2021-08-26 21:17:55,
1431002869709385730,RealDrCollision,DrCollision | Streamer | YouTuber,"RT @binance_BNB_BSC: Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum  #Binanc…",0,True,5,"[{'screen_name': 'binance_BNB_BSC', 'name': 'binance_BNB_BSC', 'id': 1202835551751036928, 'id_str': '1202835551751036928', 'indices': [3, 19]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'Crypto', 'indices': [112, 119]}, {'text': 'Ethereum', 'indices': [121, 130]}]",2021-08-26 21:17:25,"Los Angeles, CA"
1431002820858290177,sme_rt,streamachine retweets 🇬🇧,"RT @binance_BNB_BSC: Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum  #Binanc…",0,True,5,"[{'screen_name': 'binance_BNB_BSC', 'name': 'binance_BNB_BSC', 'id': 1202835551751036928, 'id_str': '1202835551751036928', 'indices': [3, 19]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'Crypto', 'indices': [112, 119]}, {'text': 'Ethereum', 'indices': [121, 130]}]",2021-08-26 21:17:13,"Manchester, UK"
1431002781998100492,BlazedRTs,Blazed,"RT @binance_BNB_BSC: Click on the link to kickstart your crypto portfolio. https://t.co/lezHdppq08 
#Bitcoin    #Crypto  #Ethereum  #Binanc…",0,True,5,"[{'screen_name': 'binance_BNB_BSC', 'name': 'binance_BNB_BSC', 'id': 1202835551751036928, 'id_str': '1202835551751036928', 'indices': [3, 19]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'Crypto', 'indices': [112, 119]}, {'text': 'Ethereum', 'indices': [121, 130]}]",2021-08-26 21:17:04,
1431002777946312708,LightningPayBil,#Help Me Pay My Bills,https://t.co/FKxj9tji88 Microsoft Has Patented a Token Interoperability Tool https://t.co/pSXl0g5lSL #ethereum-xrp-… https://t.co/XyQ8DFUkfG,0,False,0,[],"[{'text': 'ethereum', 'indices': [101, 110]}]",2021-08-26 21:17:03,Global
